There was an error occurred during paying process.,There was an error occurred during paying process.

"Payment Result","Payment Result "
"Failure reason","Failure reason " 
"Transaction failure","Sorry,transaction failure !"
"Payment exception","Sorry,Payment exception,please contact the shopping owner to solve it !"
"Payment is failure, the data validation failed","Sorry,the data validation failed,please contact the shopping owner to solve it !"
"Your order payment is failure","Sorry,your order payment is failure,please pay again !"
"Thank you for your purchase","Congratulations,your payment is successful,thank you for your purchase !"
"Your order payment is processing","Wait a moment,the order is processing,don\'t pay again later !"
"Your order has been succeed","Your order has been succeed !"
"You will receive an order confirmation email with details of your order and a link to track its progress","You will receive an order confirmation email with details of your order and a link to track its progress."
"Your Order No","Your Order No."
"Continue Checkout","Continue Checkout"
"Continue Shopping","Continue Shopping"

Bank,Bank
Credit Mutuel,Credit Mutuel
Customer returned from NewOrder creditcard.,Customer returned from NewOrder creditcard.
Customer successfully returned from NewOrder creditcard,Customer successfully returned from NewOrder creditcard
Customer was redirected to NewOrder creditcard,Customer was redirected to NewOrder creditcard
CosmoCommerce creditcard Payment," ""NewOrder Credit Card Payment"""
Service Type,Service Type
Default NewOrder creditcard Interface language,Default NewOrder creditcard Interface language
Dutch,Dutch
Enabled,Enabled
English,English
Error occured,Error occured
French,French
German,German
Groupe CIC,Groupe CIC
Italian,Italian
Key,Key
Merchant No.,Merchant No.
SignKey Code,Gateway corresponding key
Transport URL,Transaction gateway submitted address
New order status,New order status
OBC,OBC
Order %s,Order %s
Order number will be used if left empty,Order number will be used if left empty
Order status when payment accepted by NewOrder creditcard," ""Order status when payment accepted by NewOrder creditcard"""
Order status when payment refused by NewOrder creditcard," ""Order status when payment refused by NewOrder creditcard"""
Payment accepted by NewOrder creditcard," ""Payment accepted by NewOrder creditcard"""
Payment from Specific countries,Payment from Specific countries
Payment from applicable countries,Payment from applicable countries
Payment refused by NewOrder creditcard," ""Payment refused by NewOrder creditcard"""
Preference will be given to store language chosen by the user," ""Preference will be given to store language chosen by the user"""
Returned MAC is invalid. Order cancelled.,Returned MAC is invalid. Order cancelled.
SHA key,SHA key
Site code,Site code
Sort order,Sort order
Spain,Spain
TPE number,TPE number
Test mode,Test mode
There was an error occurred during paying process.,There was an error occurred during paying process.
Title,Title
Transaction Description,Transaction Description
You will be redirected to NewOrder creditcard in a few seconds.,You will be redirected to NewOrder credit card in a few seconds.
You will be redirected to NewOrder creditcard website when you place an order.,You will be redirected to NewOrder credit card website when you place an order.
Products,Products
Virtual Products,Virtual Products
Virtual Products2,Virtual Products2
